ticker,company,industry,sub_industry,headquarter,url
NTRS,Northern Trust Corp.,Financials,Asset Management & Custody Banks,"Chicago, Illinois",http://www.nasdaq.com/symbol/ntrs
NOC,Northrop Grumman,Industrials,Aerospace & Defense,"West Falls Church, Virginia",https://www.nyse.com/quote/XNYS:NOC
NLOK,NortonLifeLock,Information Technology,Application Software,"Tempe, Arizona",http://www.nasdaq.com/symbol/nlok
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",https://www.nyse.com/quote/XNYS:NCLH
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,"Princeton, New Jersey",https://www.nyse.com/quote/XNYS:NRG
NUE,Nucor Corp.,Materials,Steel,"Charlotte, North Carolina",https://www.nyse.com/quote/XNYS:NUE
NVDA,Nvidia Corporation,Information Technology,Semiconductors,"Santa Clara, California",http://www.nasdaq.com/symbol/nvda
NVR,NVR Inc,Consumer Discretionary,Homebuilding,"Reston, VA",https://www.nyse.com/quote/XNYS:NVR
ORLY,O'Reilly Automotive,Consumer Discretionary,Specialty Stores,"Springfield, Missouri",http://www.nasdaq.com/symbol/orly
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,"Houston, Texas",https://www.nyse.com/quote/XNYS:OXY
ODFL,Old Dominion Freight Line,Industrials,Trucking,"Thomasville, North Carolina",http://www.nasdaq.com/symbol/odfl
OMC,Omnicom Group,Communication Services,Advertising,"New York, New York",https://www.nyse.com/quote/XNYS:OMC
OKE,ONEOK,Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",https://www.nyse.com/quote/XNYS:OKE
ORCL,Oracle Corp.,Information Technology,Application Software,"Redwood Shores, California",https://www.nyse.com/quote/XNYS:ORCL
OTIS,Otis Worldwide,Industrials,Industrial Machinery,"Farmington, Connecticut",https://www.nyse.com/quote/XNYS:OTIS
PCAR,PACCAR Inc.,Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",http://www.nasdaq.com/symbol/pcar
PKG,Packaging Corporation of America,Materials,Paper Packaging,"Lake Forest, Illinois",https://www.nyse.com/quote/XNYS:PKG
PH,Parker-Hannifin,Industrials,Industrial Machinery,"Cleveland, Ohio",https://www.nyse.com/quote/XNYS:PH
PAYX,Paychex Inc.,Information Technology,Data Processing & Outsourced Services,"Penfield, New York",http://www.nasdaq.com/symbol/payx
PAYC,Paycom,Information Technology,Application Software,"Oklahoma City, Oklahoma",https://www.nyse.com/quote/XNYS:PAYC
PYPL,PayPal,Information Technology,Data Processing & Outsourced Services,"San Jose, California",http://www.nasdaq.com/symbol/pypl
PNR,Pentair plc,Industrials,Industrial Machinery,"Worsley, UK",https://www.nyse.com/quote/XNYS:PNR
PBCT,People's United Financial,Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",http://www.nasdaq.com/symbol/pbct
PEP,PepsiCo Inc.,Consumer Staples,Soft Drinks,"Purchase, New York",http://www.nasdaq.com/symbol/pep
PKI,PerkinElmer,Health Care,Health Care Equipment,"Waltham, Massachusetts",https://www.nyse.com/quote/XNYS:PKI
PRGO,Perrigo,Health Care,Pharmaceuticals,"Dublin, Ireland",https://www.nyse.com/quote/XNYS:PRGO
PFE,Pfizer Inc.,Health Care,Pharmaceuticals,"New York, New York",https://www.nyse.com/quote/XNYS:PFE
PM,Philip Morris International,Consumer Staples,Tobacco,"New York, New York",https://www.nyse.com/quote/XNYS:PM
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,"Houston, Texas",https://www.nyse.com/quote/XNYS:PSX
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,"Phoenix, Arizona",https://www.nyse.com/quote/XNYS:PNW
PXD,Pioneer Natural Resources,Energy,Oil & Gas Exploration & Production,"Irving, Texas",https://www.nyse.com/quote/XNYS:PXD
PNC,PNC Financial Services,Financials,Regional Banks,"Pittsburgh, Pennsylvania",https://www.nyse.com/quote/XNYS:PNC
PPG,PPG Industries,Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",https://www.nyse.com/quote/XNYS:PPG
PPL,PPL Corp.,Utilities,Electric Utilities,"Allentown, Pennsylvania",https://www.nyse.com/quote/XNYS:PPL
PFG,Principal Financial Group,Financials,Life & Health Insurance,"Des Moines, Iowa",https://www.nyse.com/quote/XNYS:PFG
PG,Procter & Gamble,Consumer Staples,Personal Products,"Cincinnati, Ohio",https://www.nyse.com/quote/XNYS:PG
PGR,Progressive Corp.,Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",https://www.nyse.com/quote/XNYS:PGR
PLD,Prologis,Real Estate,Industrial REITs,"San Francisco, California",https://www.nyse.com/quote/XNYS:PLD
PRU,Prudential Financial,Financials,Life & Health Insurance,"Newark, New Jersey",https://www.nyse.com/quote/XNYS:PRU
PEG,Public Serv. Enterprise Inc.,Utilities,Electric Utilities,"Newark, New Jersey",https://www.nyse.com/quote/XNYS:PEG
PSA,Public Storage,Real Estate,Specialized REITs,"Glendale, California",https://www.nyse.com/quote/XNYS:PSA
PHM,PulteGroup,Consumer Discretionary,Homebuilding,"Atlanta, Georgia",https://www.nyse.com/quote/XNYS:PHM
PVH,PVH Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",https://www.nyse.com/quote/XNYS:PVH
QRVO,Qorvo,Information Technology,Semiconductors,"Greensboro, North Carolina",http://www.nasdaq.com/symbol/qrvo
PWR,Quanta Services Inc.,Industrials,Construction & Engineering,"Houston, Texas",https://www.nyse.com/quote/XNYS:PWR
QCOM,QUALCOMM Inc.,Information Technology,Semiconductors,"San Diego, California",http://www.nasdaq.com/symbol/qcom
DGX,Quest Diagnostics,Health Care,Health Care Services,"Secaucus, New Jersey",https://www.nyse.com/quote/XNYS:DGX
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",https://www.nyse.com/quote/XNYS:RL
RJF,Raymond James Financial Inc.,Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",https://www.nyse.com/quote/XNYS:RJF
RTX,Raytheon Technologies,Industrials,Aerospace & Defense,"Waltham, Massachusetts",https://www.nyse.com/quote/XNYS:RTX
O,Realty Income Corporation,Real Estate,Retail REITs,"San Diego, California",https://www.nyse.com/quote/XNYS:O
REG,Regency Centers Corporation,Real Estate,Retail REITs,"Jacksonville, Florida",https://www.nyse.com/quote/XNYS:REG
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,"Tarrytown, New York",http://www.nasdaq.com/symbol/regn
RF,Regions Financial Corp.,Financials,Regional Banks,"Birmingham, Alabama",https://www.nyse.com/quote/XNYS:RF
RSG,Republic Services Inc,Industrials,Environmental & Facilities Services,"Phoenix, Arizona",https://www.nyse.com/quote/XNYS:RSG
RMD,ResMed,Health Care,Health Care Equipment,"San Diego, California",https://www.nyse.com/quote/XNYS:RMD
RHI,Robert Half International,Industrials,Human Resource & Employment Services,"Menlo Park, California",https://www.nyse.com/quote/XNYS:RHI
ROK,Rockwell Automation Inc.,Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",https://www.nyse.com/quote/XNYS:ROK
ROL,Rollins Inc.,Industrials,Environmental & Facilities Services,"Atlanta, Georgia",https://www.nyse.com/quote/XNYS:ROL
ROP,Roper Technologies,Industrials,Industrial Conglomerates,"Sarasota, Florida",https://www.nyse.com/quote/XNYS:ROP
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,"Dublin, California",http://www.nasdaq.com/symbol/rost
RCL,Royal Caribbean Cruises Ltd,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",https://www.nyse.com/quote/XNYS:RCL
SPGI,"S&P Global, Inc.",Financials,Financial Exchanges & Data,"New York, New York",https://www.nyse.com/quote/XNYS:SPGI
CRM,Salesforce.com,Information Technology,Application Software,"San Francisco, California",https://www.nyse.com/quote/XNYS:CRM
SBAC,SBA Communications,Real Estate,Specialized REITs,"Boca Raton, Florida",http://www.nasdaq.com/symbol/sbac
SLB,Schlumberger Ltd.,Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",https://www.nyse.com/quote/XNYS:SLB
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals","Dublin, Ireland",http://www.nasdaq.com/symbol/stx
SEE,Sealed Air,Materials,Paper Packaging,"Charlotte, North Carolina",https://www.nyse.com/quote/XNYS:SEE
SRE,Sempra Energy,Utilities,Multi-Utilities,"San Diego, California",https://www.nyse.com/quote/XNYS:SRE
NOW,ServiceNow,Information Technology,Systems Software,"Santa Clara, California",https://www.nyse.com/quote/XNYS:NOW
SHW,Sherwin-Williams,Materials,Specialty Chemicals,"Cleveland, Ohio",https://www.nyse.com/quote/XNYS:SHW
SPG,Simon Property Group Inc,Real Estate,Retail REITs,"Indianapolis, Indiana",https://www.nyse.com/quote/XNYS:SPG
SWKS,Skyworks Solutions,Information Technology,Semiconductors,"Woburn, Massachusetts",http://www.nasdaq.com/symbol/swks
SLG,SL Green Realty,Real Estate,Office REITs,"New York, New York",https://www.nyse.com/quote/XNYS:SLG
SNA,Snap-on,Industrials,Industrial Machinery,"Kenosha, Wisconsin",https://www.nyse.com/quote/XNYS:SNA
SO,Southern Company,Utilities,Electric Utilities,"Atlanta, Georgia",https://www.nyse.com/quote/XNYS:SO
LUV,Southwest Airlines,Industrials,Airlines,"Dallas, Texas",https://www.nyse.com/quote/XNYS:LUV
